"","Category","Term","Count","%","PValue","Genes","List Total","Pop Hits","Pop Total","Fold Enrichment","Bonferroni","Benjamini","FDR","Paper_ref_overlap"
"1","GOTERM_BP_FAT","GO:0007049~cell cycle","163","17.3036093418259","3.910422447259034E-30","ERCC6L, ZWILCH, HJURP, DIXDC1, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, KNTC1, HMCN1, SOX9, SKP2, SOX4, LIG1, PRKCE, DDX11, NSMCE2, CIRBP, VRK1, SOX11, SFRP1, MELK, CCNE1, FANCD2, ZFYVE19, TXNIP, FAM64A, KIF20B, EZR, MAD1L1, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, BCL2L11, RACGAP1, EIF4EBP1, CEP72, CEP192, CLSPN, ECT2, FAM83D, MYH10, EVI5, PLK4, AFAP1L2, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, CDK6, NASP, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, MCM7, NCAPG2, CEP164, CHD3, PTPRK, BRCA1, KIF11, LMNB1, CKS1B, CHAF1B, SEPT6, MIS18BP1, CASP3, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, PARD3B, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, RBL1, ESPL1, KIFC1, INCENP, MCM3, BIRC5, MCM4, MCM5, KIF2C, FAM32A, MCM6, ARHGEF2, MCM2, SRC, UHRF1, HDAC8, SLFN9, THBS1, GNAI1, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, RRM1, TCF7L1, SEPT11, NPM1, SPAG5, FEM1B, PML, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25","789","1440","17911","2.5696143148852277","2.573057970296444E-26","2.5726669280517183E-26","2.3904412420094474E-26",FALSE
"2","GOTERM_BP_FAT","GO:0051301~cell division","90","9.554140127388536","4.28448847788363E-27","TOP2A, ERCC6L, ZWILCH, NCAPG2, CEP164, DOCK7, DIXDC1, BUB1B, KIF11, SMC4, IGF1R, SMC2, CKS1B, SEPT6, CCND2, CCND1, PTTG1, MIS18BP1, MDK, MYC, CFL1, STMN1, NUSAP1, KNTC1, HMCN1, CEP55, HELLS, LIG1, PRKCE, NSMCE2, KIF23, VRK1, CIT, PARD3B, CCNA2, ASPM, PSRC1, KIFC1, CCNE1, INCENP, ZFYVE19, TXNIP, BIRC5, FAM64A, MCM5, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA3, CDCA8, PTN, KLHL13, NSL1, AURKB, THBS4, GNAI1, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, ECT2, FAM83D, MYH10, EVI5, E2F7, E2F8, CENPT, SEPT11, SPAG5, UBE2C, IGF2, VEGFC, DSTN, CDC7, ANLN, TPX2, CENPE, VANGL2, CDK6, APITD1, PRC1, CDK2, CDK1, CNTROB, CDK14, SPC24, SPC25, MAD2L1","789","554","17911","3.6878697615681326","2.819193418447428E-23","1.40938248479982E-23","1.3095539032651314E-23",TRUE
"3","GOTERM_BP_FAT","GO:0022402~cell cycle process","132","14.012738853503185","3.5029666378159853E-26","ERCC6L, ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, KNTC1, SKP2, SOX4, LIG1, PRKCE, DDX11, NSMCE2, CIRBP, VRK1, SOX11, CCNE1, FANCD2, ZFYVE19, FAM64A, KIF20B, EZR, MAD1L1, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, RACGAP1, EIF4EBP1, CEP72, CEP192, CLSPN, ECT2, FAM83D, MYH10, PLK4, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CHD3, BRCA1, KIF11, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, HDAC8, SLFN9, THBS1, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, TCF7L1, NPM1, SPAG5, FEM1B, PML, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25","789","1109","17911","2.7019991977152022","2.304952047682918E-22","7.682005836730456E-23","7.13787835232304E-23",TRUE
"4","GOTERM_BP_FAT","GO:1903047~mitotic cell cycle process","100","10.615711252653929","1.4940647990939456E-25","ERCC6L, ZWILCH, BUB1B, SMC4, IGF1R, SMC2, EPS8, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, KNTC1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, KIF20B, MAD1L1, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CEP192, CLSPN, FAM83D, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, KIF11, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, SLFN9, NSL1, AURKB, AURKA, E2F1, E2F7, CENPT, TCF7L1, SPAG5, PML, CENPE, APITD1, TACC3, SPRY2, SPC24, MAD2L1, SPC25","789","702","17911","3.23374461524018","9.830946378038163E-22","2.457363078309767E-22","2.2833045292153223E-22",FALSE
"5","GOTERM_BP_FAT","GO:0000278~mitotic cell cycle","106","11.252653927813164","4.0651987696513583E-25","ERCC6L, ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, KNTC1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, KIF20B, MAD1L1, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CEP192, CLSPN, FAM83D, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, KIF11, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, SLFN9, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, RRM1, TCF7L1, SPAG5, PML, CENPE, APITD1, CCDC8, TACC3, SPRY2, SPC24, MAD2L1, SPC25","789","787","17911","3.0575527866486936","2.674900790430594E-21","5.348988541107257E-22","4.97011201577575E-22",TRUE
"6","GOTERM_BP_FAT","GO:0007067~mitotic nuclear division","65","6.900212314225053","1.2448074867317243E-18","CDKN1C, ERCC6L, CDKN1B, ZWILCH, NCAPG2, CEP164, BUB1B, KIF11, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, KNTC1, CEP55, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, DSN1, RACGAP1, CEP192, FAM83D, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, APITD1, CDK2, TACC3, CDK1, SPC24, SPC25, MAD2L1","789","418","17911","3.5300422677849137","8.190833262694745E-15","1.3649314092013357E-15","1.2682513610651719E-15",FALSE
"7","GOTERM_BP_FAT","GO:0000280~nuclear division","76","8.067940552016985","1.5313986605588254E-17","CDKN1C, TOP2A, ERCC6L, CDKN1B, ZWILCH, NCAPG2, CEP164, BUB1B, KIF11, MKI67, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, KNTC1, TOPBP1, CEP55, YWHAH, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, CCNE1, INCENP, FANCD2, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, CEP192, FAM83D, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, RAD51, APITD1, CCDC8, CDK2, TACC3, CDK1, TRIP13, SPC24, SPC25, MAD2L1","789","576","17911","2.9952559498662157","1.0076603186477072E-13","1.4392959696880733E-14","1.3373485731423E-14",TRUE
"8","GOTERM_BP_FAT","GO:0010564~regulation of cell cycle process","70","7.43099787685775","7.988239930271897E-17","CDKN1C, CDKN1B, BUB1B, BRCA1, KIF11, MKI67, IGF1R, LMNB1, CCND2, CCND1, CHEK1, NUSAP1, CASP2, TOPBP1, SOX9, SOX4, YWHAH, PRKCE, DDX11, NSMCE2, CIRBP, KIF23, SOX11, CIT, CCNA2, SFRP1, SFPQ, RAD51C, PSRC1, DBF4, ESPL1, KIFC1, ZFYVE19, BIRC5, KIF20B, MAD1L1, GATA6, HDAC8, SLFN9, AURKB, AURKA, ZFP36L1, RACGAP1, E2F1, CEP192, CLSPN, ECT2, FAM83D, E2F7, E2F8, PLK4, NPM1, STIL, SPAG5, UBE2C, FEM1B, PLK2, IGF2, CDC7, BMP7, PML, PBX1, TPX2, CENPE, ID2, CCDC8, TACC3, CDK1, MAD2L1, EZH2","789","516","17911","3.0795777207926824","7.30526750203353E-13","6.569328812657351E-14","6.104013836719014E-14",TRUE
"9","GOTERM_BP_FAT","GO:0048285~organelle fission","76","8.067940552016985","8.38462299763365E-16","CDKN1C, TOP2A, ERCC6L, CDKN1B, ZWILCH, NCAPG2, CEP164, BUB1B, KIF11, MKI67, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, KNTC1, TOPBP1, CEP55, YWHAH, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, CCNE1, INCENP, FANCD2, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, CEP192, FAM83D, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, RAD51, APITD1, CCDC8, CDK2, TACC3, CDK1, TRIP13, SPC24, SPC25, MAD2L1","789","616","17911","2.800758810264514","5.844214001626824E-12","5.516243470143178E-13","5.12552003845345E-13",TRUE
"10","GOTERM_BP_FAT","GO:0051726~regulation of cell cycle","91","9.660297239915074","1.8789402168863594E-15","CDKN1C, TOP2A, CDKN1B, ZWILCH, BUB1B, BRCA1, KIF11, PTPRK, MKI67, IGF1R, LMNB1, CKS1B, CCND2, CCND1, MYC, CASP3, CHEK1, NUSAP1, CASP2, KNTC1, TOPBP1, SOX9, SKP2, CLIC1, SOX4, YWHAH, PRKCE, DDX11, NSMCE2, CIRBP, KIF23, SOX11, CIT, CCNA2, ASPM, SFRP1, SFPQ, RAD51C, PSRC1, RBL1, DBF4, ESPL1, KIFC1, CCNE1, ZFYVE19, BIRC5, KIF20B, PRR11, MAD1L1, SRC, GATA6, HDAC8, SLFN9, THBS1, AURKB, AURKA, ZFP36L1, BCL2L11, RACGAP1, FIGNL1, E2F1, EIF4EBP1, CEP192, CLSPN, ECT2, FAM83D, E2F7, E2F8, PLK4, TCF7L2, AFAP1L2, NPM1, STIL, SPAG5, UBE2C, FEM1B, PLK2, IGF2, CDC7, BMP7, PML, PBX1, TPX2, CENPE, CDK6, ID2, CCDC8, TACC3, CDK1, MAD2L1, EZH2","789","834","17911","2.4769553178749772","1.2418954753457001E-11","1.1237770624450327E-12","1.0441783223478469E-12",TRUE
